1108447 990 03 09 080 000082   000086   000087   000088   000089   000091   000090   000087   000087   000086   000086   000088   000089   000086   000087   000086   000088   000087   000090   000090   000091   000091   000084   000080  
1108447 990 03 10 080 000080   000078   000076   000075   000077   000065   000068   000071   000068   000065   000058   000060   000053   000048   000047   000047   000058   000061   000057   000064   000072   000081   000085   000086  
1108447 990 03 11 080 000087   000085   000089   000088   000088   000090   000087   000089   000086   000084   000079   000079   000076   000076   000074   000071   000070   000068   000074   000070   000077   000073   000079   000080  
1108447 990 03 12 080 000072   000076   000077   000077   000075   000081   000083   000078   000078   000070   000067   000071   000065   000060   000057   000056   000046   000053   000054   000057   000071   000079   000075   000080  
1108447 990 03 13 080 000082   000082   000081   000082   000083   000085   000082   000080   000076   000062   000059   000054   000054   000052   000052   000049   000049   000047   000078   000085   000088   000090   000089   000086  
1108447 990 03 14 080 000087   000088   000087   000088   000090   000091   000090   000088   000087   000086   000086   000085   000085   000086   000086   000082   000083   000082   000086   000090   000091   000089   000090   000090  
1108447 990 03 15 080 000087   000092   000091   000091   000088   000089   000087   000085   000085   000076   000073   000064   000082   000079   000083   000078   000074   000070   000071   000077   000081   000079   000084   000083  
1108447 990 03 16 080 000079   000083   000083   000090   000086   000090   000085   000085   000079   000082   000083   000076   000080   000082   000080   000081   000081   000085   000085   000081   000079   000086   000088   000086  
1108447 990 03 17 080 000080   000087   000089   000089   000087   000089   000087   000089   000088   000085   000087   000080   000086   000075   000074   000071   000087   000091   000090   000091   000092   000092   000091   000093  
1108447 990 03 18 080 000092   000092   000091   000089   000090   000089   000090   000091   000091   000091   000084   000081   000075   000080   000080   000080   000085   000087   000087   000084   000086   000088   000090   000092  
1108447 990 03 19 080 000093   000094   000095   000095   000094   000094   000093   000094   000094   000087   000087   000089   000087   000090   000090   000085   000083   000083   000087   000086   000087   000088   000089   000089  
1108447 990 03 20 080 000092   000092   000091   000092   000092   000092   000092   000091   000089   000085   000082   000076   000076   000069   000059   000061   000063   000063   000065   000082   000078   000081   000084   000086  
1108447 990 03 21 080 000085   000083   000086   000087   000084   000085   000089   000085   000083   000084   000079   000078   000079   000077   000076   000084   000084   000087   000086   000085   000081   000086   000085   000084  
1108447 990 03 22 080 000086   000082   000077   000085   000078   000086   000070   000059   000060   000047   000040   000039   000038   000039   000041   000045   000049   000060   000057   000061   000075   000079   000079   000082  
1108447 990 03 23 080 000082   000083   000085   000084   000084   000079   000080   000081   000073   000068   000071   000065   000069   000065   000063   000064   000057   000052   000059   000058   000075   000060   000061   000067  
1108447 990 03 24 080 000069   000078   000074   000077   000069   000075   000072   000074   000056   000048   000051   000043   000061   000068   000061   000043   000041   000045   000051   000049   000038   000042   000053   000067  
1108447 990 03 25 080 000056   000062   000065   000067   000065   000069   000068   000067   000060   000057   000049   000060   000057   000054   000064   000055   000066   000068   000077   000079   000081   000078   000083   000078  
1108447 990 03 26 080 000080   000081   000073   000071   000070   000076   000073   000069   000061   000057   000061   000051   000065   000069   000070   000059   000057   000062   000061   000064   000062   000062   000070   000067  
1108447 990 03 27 080 000074   000071   000069   000071   000074   000080   000080   000083   000071   000059   000066   000062   000070   000069   000066   000067   000063   000070   000069   000069   000081   000073   000080   000086  
1108447 990 03 28 080 000081   000077   000073   000074   000074   000077   000077   000073   000069   000062   000065   000077   000075   000068   000069   000069   000064   000068   000064   000066   000064   000065   000073   000075  
1108447 990 03 29 080 000076   000074   000075   000079   000077   000082   000082   000076   000069   000072   000071   000073   000078   000076   000073   000069   000076   000079   000077   000084   000082   000082   000081   000085  
1108447 990 03 30 080 000085   000088   000086   000083   000085   000085   000087   000088   000089   000087   000082   000081   000077   000073   000069   000073   000066   000070   000082   000083   000084   000088   000085   000087  
1108447 990 03 31 080 000087   000090   000089   000085   000088   000089   000089   000087   000086   000084   000081   000074   000082   000083   000081   000071   000077   000073   000076   000088   000087   000089   000090   000090  
1108447 990 04 01 080 000091   000088   000087   000088   000088   000088   000086   000086   000081   000080   000078   000079   000076   000074   000074   000074   000072   000071   000073   000076   000082   000082   000083   000082  
1108447 990 04 02 080 000083   000086   000082   000085   000087   000089   000089   000086   000084   000078   000082   000068   000065   000069   000069   000067   000067   000065   000063   000069   000069   000070   000077   000082  
1108447 990 04 03 080 000079   000082   000089   000083   000081   000082   000080   000076   000079   000075   000076   000075   000073   000074   000072   000071   000071   000073   000077   000082   000081   000083   000083   000081  
1108447 990 04 04 080 000083   000077   000078   000078   000076   000081   000073   000073   000077   000079   000079   000076   000073   000074   000072   000067   000065   000066   000067   000073   000072   000066   000077   000082  
1108447 990 04 05 080 000084   000082   000082   000081   000085   000085   000084   000081   000083   000078   000077   000075   000076   000074   000074   000072   000067   000070   000074   000075   000077   000074   000078   000082  
1108447 990 04 06 080 000082   000078   000078   000078   000079   000085   000080   000077   000079   000075   000074   000075   000071   000072   000071   000073   000073   000068   000075   000081   000079   000081   000082   000085  
1108447 990 04 07 080 000083   000087   000085   000087   000086   000086   000085   000083   000090   000090   000084   000081   000076   000075   000071   000068   000067   000066   000072   000077   000081   000081   000082   000081  
1108447 990 04 08 080 000080   000081   000081   000080   000079   000079   000077   000077   000073   000074   000074   000072   000070   000069   000071   000067   000073   000069   000069   000074   000077   000080   000076   000082  
1108447 990 04 09 080 000083   000085   000086   000085   000084   000084   000084   000083   000069   000065   000061   000061   000058   000056   000050   000064   000067   000070   000065   000065   000077   000074   000081   000073  
1108447 990 04 10 080 000067   000074   000079   000074   000074   000073   000081   000076   000066   000063   000073   000072   000073   000062   000058   000060   000056   000059   000063   000066   000064   000069   000074   000072  
1108447 990 04 11 080 000057   000060   000065   000068   000069   000077   000074   000071   000073   000076   000078   000074   000072   000060   000055   000059   000056   000057   000066   000064   000062   000070   000071   000078  
1108447 990 04 12 080 000079   000079   000081   000081   000084   000087   000084   000080   000077   000066   000060   000057   000056   000049   000049   000046   000050   000058   000057   000057   000060   000065   000064   000067  
1108447 990 04 13 080 000071   000065   000062   000070   000068   000070   000071   000072   000076   000079   000082   000082   000077   000081   000082   000084   000082   000081   000081   000082   000085   000087   000089   000088  
1108447 990 04 14 080 000086   000086   000087   000083   000087   000087   000086   000080   000083   000078   000071   000073   000078   000075   000077   000075   000071   000073   000070   000076   000075   000084   000086   000086  
1108447 990 04 15 080 000084   000086   000087   000082   000085   000084   000081   000085   000075   000070   000073   000072   000072   000072   000070   000070   000071   000070   000072   000077   000074   000072   000082   000085  
1108447 990 04 16 080 000080   000082   000082   000075   000074   000081   000084   000079   000073   000078   000071   000059   000069   000062   000055   000053   000059   000059   000063   000073   000076   000076   000081   000083  
1108447 990 04 17 080 000081   000078   000076   000081   000089   000091   000090   000091   000089   000083   000079   000071   000066   000062   000056   000059   000063   000057   000070   000072   000074   000057   000075   000075  
1108447 990 04 18 080 000080   000080   000081   000081   000081   000083   000079   000078   000076   000074   000070   000068   000065   000065   000062   000060   000059   000060   000061   000067   000065   000069   000071   000075  
1108447 990 04 19 080 000082   000087   000085   000084   000085   000088   000089   000088   000089   000086   000085   000085   000084   000082   000082   000081   000082   000085   000087   000088   000089   000089   000089   000092  
1108447 990 04 20 080 000090   000091   000090   000091   000092   000090   000090   000090   000090   000089   000091   000088   000081   000079   000077   000077   000074   000074   000077   000079   000086   000083   000082   000078  
1108447 990 04 21 080 000077   000075   000077   000074   000074   000078   000078   000075   000067   000067   000059   000058   000056   000056   000056   000056   000061   000056   000060   000063   000072   000080   000082   000083  
1108447 990 04 22 080 000083   000082   000078   000082   000081   000078   000087   000087   000084   000086   000087   000086   000078   000073   000069   000064   000063   000067   000077   000076   000085   000084   000086   000086  
1108447 990 04 23 080 000087   000088   000089   000090   000089   000088   000089   000089   000089   000088   000089   000088   000088   000086   000088   000087   000085   000086   000087   000088   000090   000089   000089   000082  
1108447 990 04 24 080 000075   000064   000065   000064   000071   000070   000069   000069   000063   000059   000058   000061   000046   000048   000050   000041   000046   000048   000053   000058   000061   000057   000058   000070  
1108447 990 04 25 080 000080   000086   000083   000084   000085   000088   000086   000086   000087   000084   000082   000076   000062   000059   000057   000059   000056   000053   000060   000063   000069   000079   000082   000079  
